STABR,SURVYEAR,TYPE,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,DPL,FLAG_P_DPL,FLAG_P_G,STNAME
HI,2009,HP,,,,,,,,,,,,,,,,Hawaii
ID,2009,HP,,,,,,,,,,,,,,,,Idaho
IL,2009,HP,,,,,,,,,,,,,,,,Illinois
IN,2009,HP,,,,,,,,,,,,,,,,Indiana
IA,2009,HP,44,39,48,48,39,36,41,35,44,34,38,40,33,A,A,Iowa
KS,2009,HP,51,49,40,45,56,50,36,40,54,46,42,45,39,A,A,Kansas
KY,2009,HP,,,,,,,,,,,,,,,,Kentucky
LA,2009,HP,,,,,,,,,,,,,,,,Louisiana
ME,2009,HP,,,,,,,,,,,,,,,,Maine
MD,2009,HP,,,,,,,,,,,,,,,,Maryland
MA,2009,HP,76,82,94,98,64,64,78,102,88,69,79,86,80,A,A,Massachusetts
MI,2009,HP,,,,,,,,,,,,,,,,Michigan
MN,2009,HP,,,,,,,,,,,,,,,,Minnesota
MS,2009,HP,4,3,6,2,4,2,4,5,1,4,1,2,2,A,A,Mississippi
MO,2009,HP,,,,,,,,,,,,,,,,Missouri
MT,2009,HP,,,,,,,,,,,,,,,,Montana
NE,2009,HP,,,,,,,,,,,,,,,,Nebraska
NV,2009,HP,,,,,,,,,,,,,,,,Nevada
NH,2009,HP,5,11,9,7,7,7,13,6,10,9,6,8,8,A,A,New Hampshire
NJ,2009,HP,220,221,195,183,179,202,170,166,191,164,168,154,333,A,A,New Jersey
NM,2009,HP,7,5,4,7,2,6,3,4,5,2,2,1,1,A,A,New Mexico
NY,2009,HP,,,,,,,,,,,,,,,,New York
NC,2009,HP,,,,,,,,,,,,,,,,North Carolina
ND,2009,HP,,,,,,,,,,,,,,,,North Dakota
OH,2009,HP,,,,,,,,,,,,,,,,Ohio
OK,2009,HP,,,,,,,,,,,,,,,,Oklahoma
OR,2009,HP,,,,,,,,,,,,,,,,Oregon
PA,2009,HP,,,,,,,,,,,,,,,,Pennsylvania
RI,2009,HP,,,,,,,,,,,,,,,,Rhode Island
SC,2009,HP,,,,,,,,,,,,,,,,South Carolina
SD,2009,HP,,,,,,,,,,,,,,,,South Dakota
TN,2009,HP,,,,,,,,,,,,,,,,Tennessee
TX,2009,HP,,,,,,,,,,,,,,,,Texas
UT,2009,HP,,,,,,,,,,,,,,,,Utah
VT,2009,HP,2,3,6,4,6,6,5,6,6,4,9,7,8,A,A,Vermont
VA,2009,HP,,,,,,,,,,,,,,,,Virginia
WA,2009,HP,,,,,,,,,,,,,,,,Washington
WV,2009,HP,0,2,1,1,3,2,0,3,0,1,1,1,1,A,A,West Virginia
WI,2009,HP,,,,,,,,,,,,,,,,Wisconsin
WY,2009,HP,6,8,6,8,10,13,7,5,7,7,9,9,10,A,A,Wyoming
AL,2009,TR,,,,,,,,,,,,,,,,Alabama
AK,2009,TR,702,725,715,702,648,572,568,575,554,517,502,503,429,A,A,Alaska
AZ,2009,TR,,,,,,,,,,,,,,,,Arizona
AR,2009,TR,424,404,401,390,376,391,340,338,370,318,304,278,260,A,A,Arkansas
CA,2009,TR,19455,18500,18606,17089,16445,15286,14330,13741,14840,13562,12958,12669,11034,A,A,California
CO,2009,TR,,,,,,,,,,,,,,,,Colorado
CT,2009,TR,,,,,,,,,,,,,,,,Connecticut
DE,2009,TR,,,,,,,,,,,,,,,,Delaware
DC,2009,TR,,,,,,,,,,,,,,,,District of Columbia
FL,2009,TR,,,,,,,,,,,,,,,,Florida
GA,2009,TR,4159,4063,4021,3832,3707,3396,3333,3287,3713,3043,2547,2122,2117,A,A,Georgia
HI,2009,TR,,,,,,,,,,,,,,,,Hawaii
ID,2009,TR,,,,,,,,,,,,,,,,Idaho
IL,2009,TR,,,,,,,,,,,,,,,,Illinois
IN,2009,TR,,,,,,,,,,,,,,,,Indiana
IA,2009,TR,788,834,782,727,701,770,712,714,670,633,554,491,413,A,A,Iowa
KS,2009,TR,1594,1704,1559,1512,1506,1426,1379,1330,1419,1258,1125,960,883,A,A,Kansas
KY,2009,TR,,,,,,,,,,,,,,,,Kentucky
LA,2009,TR,,,,,,,,,,,,,,,,Louisiana
ME,2009,TR,,,,,,,,,,,,,,,,Maine
MD,2009,TR,,,,,,,,,,,,,,,,Maryland
MA,2009,TR,2153,1905,1978,1735,1555,1473,1435,1306,1494,1231,1153,1010,966,A,A,Massachusetts
MI,2009,TR,,,,,,,,,,,,,,,,Michigan
