STABR,SURVYEAR,TYPE,BIRTHS,BIRTHYR,FLAG_P
_N,2008,G,"678,944",2002,A
_N,2008,HI,"107,664",2002,A
_N,2008,NP,"678,944",2002,A
_N,2008,WH,"430,107",2002,A
_N,2009,AM,"1,674",2003,A
_N,2009,AS,"45,219",2003,A
_N,2009,BL,"94,443",2003,A
_N,2009,G,"687,759",2003,A
_N,2009,HI,"113,230",2003,A
_N,2009,NP,"687,759",2003,A
_N,2009,WH,"433,193",2003,A
_N,2010,AM,"1,610",2004,A
_N,2010,AS,"46,018",2004,A
_N,2010,BL,"92,764",2004,A
_N,2010,G,"678,414",2004,A
_N,2010,HI,"116,332",2004,A
_N,2010,NP,"678,414",2004,A
_N,2010,WH,"421,690",2004,A
_N,2011,AM,"1,598",2005,A
_N,2011,AS,"45,925",2005,A
_N,2011,BL,"92,547",2005,A
_N,2011,G,"671,617",2005,A
_N,2011,HI,"119,049",2005,A
_N,2011,NP,"671,617",2005,A
_N,2011,WH,"412,498",2005,A
_N,2012,AM,"1,564",2006,A
_N,2012,AS,"47,746",2006,A
_N,2012,BL,"95,711",2006,A
_N,2012,G,"681,122",2006,A
_N,2012,HI,"124,488",2006,A
_N,2012,NP,"681,122",2006,A
_N,2012,WH,"411,613",2006,A
_N,2013,AM,"1,633",2007,A
_N,2013,AS,"51,068",2007,A
_N,2013,BL,"97,152",2007,A
_N,2013,G,"687,031",2007,A
_N,2013,HI,"127,182",2007,A
_N,2013,NP,"687,031",2007,A
_N,2013,WH,"409,996",2007,A
_N,2014,AM,"1,611",2008,A
_N,2014,AS,"50,399",2008,A
_N,2014,BL,"96,834",2008,A
_N,2014,G,"675,466",2008,A
_N,2014,HI,"126,404",2008,A
_N,2014,NP,"675,466",2008,A
_N,2014,WH,"400,218",2008,A
_N,2015,AM,"1,608",2009,A
_N,2015,AS,"50,121",2009,A
_N,2015,BL,"95,263",2009,A
_N,2015,G,"663,186",2009,A
_N,2015,HI,"125,867",2009,A
_N,2015,NP,"663,186",2009,A
_N,2015,WH,"390,327",2009,A
_N,2016,AM,"1,556",2010,A
_N,2016,AS,"50,074",2010,A
_N,2016,BL,"92,116",2010,A
_N,2016,G,"648,435",2010,A
_N,2016,HI,"122,426",2010,A
_N,2016,NP,"648,435",2010,A
_N,2016,WH,"382,263",2010,A
_N,2017,AM,"1,443",2011,A
_N,2017,AS,"51,528",2011,A
_N,2017,BL,"89,845",2011,A
_N,2017,G,"643,413",2011,A
_N,2017,HI,"123,104",2011,A
_N,2017,NP,"643,413",2011,A
_N,2017,WH,"371,381",2011,A
_N,2018,AM,"1,433",2012,A
_N,2018,AS,"55,025",2012,A
_N,2018,BL,"89,144",2012,A
_N,2018,G,"638,637",2012,A
_N,2018,HI,"121,220",2012,A
_N,2018,NP,"638,637",2012,A
_N,2018,WH,"365,460",2012,A
_N,2019,AM,"1,504",2013,A
_N,2019,AS,"52,107",2013,A
_N,2019,BL,"87,217",2013,A
_N,2019,G,"630,370",2013,A
_N,2019,HI,"120,049",2013,A
_N,2019,NP,"630,370",2013,A
_N,2019,WH,"363,031",2013,A
_N,2020,AM,"1,470",2014,A
_N,2020,AS,"54,281",2014,A
_N,2020,BL,"86,033",2014,A
_N,2020,G,"634,463",2014,A
_N,2020,HI,"121,411",2014,A
_N,2020,NP,"634,463",2014,A
_N,2020,WH,"363,858",2014,A
_S,2000,AM,"8,456",1994,A
_S,2000,AS,"25,311",1994,A
_S,2000,BL,"328,365",1994,A
_S,2000,G,"1,364,273",1994,A
_S,2000,HI,"190,213",1994,A
_S,2000,NP,"1,364,273",1994,A
_S,2000,WH,"811,928",1994,A
_S,2001,AM,"8,561",1995,A
_S,2001,AS,"26,585",1995,A
_S,2001,BL,"315,908",1995,A
_S,2001,G,"1,355,403",1995,A
_S,2001,HI,"198,170",1995,A
_S,2001,NP,"1,355,403",1995,A
_S,2001,WH,"806,179",1995,A
_S,2002,AM,"8,798",1996,A
_S,2002,AS,"28,592",1996,A
_S,2002,BL,"314,371",1996,A
_S,2002,G,"1,368,313",1996,A
_S,2002,HI,"209,805",1996,A
_S,2002,NP,"1,368,313",1996,A
_S,2002,WH,"806,747",1996,A
_S,2003,AM,"9,166",1997,A
_S,2003,AS,"29,934",1997,A
_S,2003,BL,"319,236",1997,A
_S,2003,G,"1,385,694",1997,A
_S,2003,HI,"219,072",1997,A
_S,2003,NP,"1,385,694",1997,A
_S,2003,WH,"808,286",1997,A
_S,2004,AM,"9,732",1998,A
_S,2004,AS,"31,513",1998,A
_S,2004,BL,"327,491",1998,A
_S,2004,G,"1,421,139",1998,A
_S,2004,HI,"230,802",1998,A
_S,2004,NP,"1,421,139",1998,A
_S,2004,WH,"821,601",1998,A
_S,2005,AM,"9,574",1999,A
_S,2005,AS,"33,412",1999,A
_S,2005,BL,"328,021",1999,A
_S,2005,G,"1,437,977",1999,A
_S,2005,HI,"246,566",1999,A
_S,2005,NP,"1,437,977",1999,A
_S,2005,WH,"820,404",1999,A
_S,2006,AM,"10,329",2000,A
_S,2006,AS,"37,803",2000,A
_S,2006,BL,"339,321",2000,A
_S,2006,G,"1,487,921",2000,A
_S,2006,HI,"270,518",2000,A
_S,2006,NP,"1,487,921",2000,A
_S,2006,WH,"829,950",2000,A
_S,2007,AM,"10,384",2001,A
_S,2007,AS,"39,084",2001,A
_S,2007,BL,"330,097",2001,A
_S,2007,G,"1,477,788",2001,A
_S,2007,HI,"289,249",2001,A
_S,2007,NP,"1,477,788",2001,A
_S,2007,WH,"808,974",2001,A
_S,2008,AM,"10,277",2002,A
_S,2008,AS,"41,957",2002,A
_S,2008,BL,"325,115",2002,A
_S,2008,G,"1,480,425",2002,A
_S,2008,HI,"302,913",2002,A
_S,2008,NP,"1,480,425",2002,A
_S,2008,WH,"800,163",2002,A
_S,2009,AM,"10,512",2003,A
_S,2009,AS,"44,291",2003,A
_S,2009,BL,"325,100",2003,A
_S,2009,G,"1,505,607",2003,A
_S,2009,HI,"316,849",2003,A
_S,2009,NP,"1,505,607",2003,A
_S,2009,WH,"808,855",2003,A
_S,2010,AM,"10,208",2004,A
_S,2010,AS,"46,492",2004,A
_S,2010,BL,"328,723",2004,A
_S,2010,G,"1,526,322",2004,A
_S,2010,HI,"334,452",2004,A
_S,2010,NP,"1,526,322",2004,A
_S,2010,WH,"806,447",2004,A
_S,2011,AM,"10,627",2005,A
_S,2011,AS,"47,322",2005,A
_S,2011,BL,"332,318",2005,A
_S,2011,G,"1,548,132",2005,A
_S,2011,HI,"353,186",2005,A
_S,2011,NP,"1,548,132",2005,A
_S,2011,WH,"804,679",2005,A
_S,2012,AM,"11,194",2006,A
_S,2012,AS,"49,667",2006,A
_S,2012,BL,"354,550",2006,A
_S,2012,G,"1,612,068",2006,A
_S,2012,HI,"377,850",2006,A
_S,2012,NP,"1,612,068",2006,A
_S,2012,WH,"818,807",2006,A
_S,2013,AM,"11,643",2007,A
_S,2013,AS,"53,787",2007,A
_S,2013,BL,"361,689",2007,A
_S,2013,G,"1,641,964",2007,A
_S,2013,HI,"391,093",2007,A
_S,2013,NP,"1,641,964",2007,A
_S,2013,WH,"823,752",2007,A
_S,2014,AM,"11,534",2008,A
_S,2014,AS,"53,767",2008,A
_S,2014,BL,"359,718",2008,A
_S,2014,G,"1,618,354",2008,A
_S,2014,HI,"383,839",2008,A
_S,2014,NP,"1,618,354",2008,A
_S,2014,WH,"809,496",2008,A
_S,2015,AM,"11,269",2009,A
_S,2015,AS,"54,701",2009,A
_S,2015,BL,"350,315",2009,A
_S,2015,G,"1,578,670",2009,A
_S,2015,HI,"373,327",2009,A
_S,2015,NP,"1,578,670",2009,A
_S,2015,WH,"789,058",2009,A
_S,2016,AM,"11,106",2010,A
_S,2016,AS,"54,316",2010,A
_S,2016,BL,"337,760",2010,A
_S,2016,G,"1,522,671",2010,A
_S,2016,HI,"350,218",2010,A
_S,2016,NP,"1,522,671",2010,A
_S,2016,WH,"769,271",2010,A
_S,2017,AM,"10,554",2011,A
_S,2017,AS,"55,952",2011,A
_S,2017,BL,"330,893",2011,A
_S,2017,G,"1,505,111",2011,A
_S,2017,HI,"338,524",2011,A
_S,2017,NP,"1,505,111",2011,A
_S,2017,WH,"763,848",2011,A
_S,2018,AM,"10,533",2012,A
_S,2018,AS,"59,558",2012,A
_S,2018,BL,"331,550",2012,A
_S,2018,G,"1,507,125",2012,A
_S,2018,HI,"336,315",2012,A
_S,2018,NP,"1,507,125",2012,A
_S,2018,WH,"764,067",2012,A
_S,2019,AM,"10,424",2013,A
_S,2019,AS,"58,174",2013,A
_S,2019,BL,"332,593",2013,A
_S,2019,G,"1,509,141",2013,A
_S,2019,HI,"339,974",2013,A
_S,2019,NP,"1,509,141",2013,A
_S,2019,WH,"762,740",2013,A
_S,2020,AM,"10,293",2014,A
_S,2020,AS,"62,704",2014,A
_S,2020,BL,"336,900",2014,A
_S,2020,G,"1,539,585",2014,A
_S,2020,HI,"349,296",2014,A
_S,2020,NP,"1,539,585",2014,A
_S,2020,WH,"775,665",2014,A
_U,2000,AM,"36,864",1994,A
_U,2000,AS,"151,204",1994,A
_U,2000,BL,"625,568",1994,A
_U,2000,G,"3,952,769",1994,A
_U,2000,HI,"675,331",1994,A
_U,2000,NP,"3,952,769",1994,A
_U,2000,WH,"2,463,803",1994,A
_U,2001,AM,"35,174",1995,A
_U,2001,AS,"156,645",1995,A
_U,2001,BL,"592,999",1995,A
_U,2001,G,"3,899,589",1995,A
_U,2001,HI,"679,768",1995,A
_U,2001,NP,"3,899,589",1995,A
_U,2001,WH,"2,435,003",1995,A
_U,2002,AM,"35,733",1996,A
_U,2002,AS,"162,220",1996,A
_U,2002,BL,"582,620",1996,A
_U,2002,G,"3,891,494",1996,A
_U,2002,HI,"701,339",1996,A
_U,2002,NP,"3,891,494",1996,A
_U,2002,WH,"2,409,582",1996,A
_U,2003,AM,"36,407",1997,A
_U,2003,AS,"166,262",1997,A
_U,2003,BL,"585,808",1997,A
_U,2003,G,"3,880,894",1997,A
_U,2003,HI,"709,767",1997,A
_U,2003,NP,"3,880,894",1997,A
_U,2003,WH,"2,382,650",1997,A
_U,2004,AM,"37,827",1998,A
_U,2004,AS,"168,875",1998,A
_U,2004,BL,"596,820",1998,A
_U,2004,G,"3,941,553",1998,A
_U,2004,HI,"734,661",1998,A
_U,2004,NP,"3,941,553",1998,A
_U,2004,WH,"2,403,370",1998,A
_U,2005,AM,"37,772",1999,A
_U,2005,AS,"176,953",1999,A
_U,2005,BL,"592,494",1999,A
_U,2005,G,"3,959,417",1999,A
_U,2005,HI,"764,339",1999,A
_U,2005,NP,"3,959,417",1999,A
_U,2005,WH,"2,387,859",1999,A
_U,2006,AM,"38,872",2000,A
_U,2006,AS,"196,308",2000,A
_U,2006,BL,"607,419",2000,A
_U,2006,G,"4,058,814",2000,A
_U,2006,HI,"815,868",2000,A
_U,2006,NP,"4,058,814",2000,A
_U,2006,WH,"2,400,347",2000,A
_U,2007,AM,"38,981",2001,A
_U,2007,AS,"196,336",2001,A
_U,2007,BL,"592,330",2001,A
_U,2007,G,"4,025,933",2001,A
_U,2007,HI,"851,851",2001,A
_U,2007,NP,"4,025,933",2001,A
_U,2007,WH,"2,346,435",2001,A
_U,2008,AM,"39,316",2002,A
_U,2008,AS,"206,691",2002,A
_U,2008,BL,"580,848",2002,A
_U,2008,G,"4,021,726",2002,A
_U,2008,HI,"876,642",2002,A
_U,2008,NP,"4,021,726",2002,A
_U,2008,WH,"2,318,229",2002,A
_U,2009,AM,"39,481",2003,A
_U,2009,AS,"214,644",2003,A
_U,2009,BL,"579,392",2003,A
_U,2009,G,"4,089,950",2003,A
_U,2009,HI,"912,329",2003,A
_U,2009,NP,"4,089,950",2003,A
_U,2009,WH,"2,344,104",2003,A
_U,2010,AM,"40,228",2004,A
_U,2010,AS,"220,771",2004,A
_U,2010,BL,"582,455",2004,A
_U,2010,G,"4,112,052",2004,A
_U,2010,HI,"946,349",2004,A
_U,2010,NP,"4,112,052",2004,A
_U,2010,WH,"2,322,249",2004,A
_U,2011,AM,"40,976",2005,A
_U,2011,AS,"221,356",2005,A
_U,2011,BL,"587,301",2005,A
_U,2011,G,"4,138,349",2005,A
_U,2011,HI,"985,505",2005,A
_U,2011,NP,"4,138,349",2005,A
_U,2011,WH,"2,303,211",2005,A
_U,2012,AM,"42,866",2006,A
_U,2012,AS,"231,593",2006,A
_U,2012,BL,"621,687",2006,A
_U,2012,G,"4,265,555",2006,A
_U,2012,HI,"1,039,077",2006,A
_U,2012,NP,"4,265,555",2006,A
_U,2012,WH,"2,330,332",2006,A
_U,2013,AM,"43,624",2007,A
_U,2013,AS,"245,300",2007,A
_U,2013,BL,"632,045",2007,A
_U,2013,G,"4,316,233",2007,A
_U,2013,HI,"1,062,779",2007,A
_U,2013,NP,"4,316,233",2007,A
_U,2013,WH,"2,332,485",2007,A
_U,2014,AM,"43,336",2008,A
_U,2014,AS,"243,861",2008,A
_U,2014,BL,"630,063",2008,A
_U,2014,G,"4,247,694",2008,A
_U,2014,HI,"1,041,239",2008,A
_U,2014,NP,"4,247,694",2008,A
_U,2014,WH,"2,289,195",2008,A
_U,2015,AM,"42,319",2009,A
_U,2015,AS,"241,418",2009,A
_U,2015,BL,"615,451",2009,A
_U,2015,G,"4,130,665",2009,A
_U,2015,HI,"999,548",2009,A
_U,2015,NP,"4,130,665",2009,A
_U,2015,WH,"2,231,929",2009,A
_U,2016,AM,"40,595",2010,A
_U,2016,AS,"237,837",2010,A
_U,2016,BL,"595,640",2010,A
_U,2016,G,"3,999,386",2010,A
_U,2016,HI,"945,180",2010,A
_U,2016,NP,"3,999,386",2010,A
_U,2016,WH,"2,180,134",2010,A
_U,2017,AM,"39,187",2011,A
_U,2017,AS,"240,102",2011,A
_U,2017,BL,"582,345",2011,A
_U,2017,G,"3,953,590",2011,A
_U,2017,HI,"918,129",2011,A
_U,2017,NP,"3,953,590",2011,A
_U,2017,WH,"2,146,566",2011,A
_U,2018,AM,"38,914",2012,A
_U,2018,AS,"257,822",2012,A
_U,2018,BL,"583,489",2012,A
_U,2018,G,"3,952,432",2012,A
_U,2018,HI,"907,655",2012,A
_U,2018,NP,"3,952,432",2012,A
_U,2018,WH,"2,134,044",2012,A
_U,2019,AM,"38,455",2013,A
_U,2019,AS,"252,048",2013,A
_U,2019,BL,"583,834",2013,A
_U,2019,G,"3,931,933",2013,A
_U,2019,HI,"901,034",2013,A
_U,2019,NP,"3,931,933",2013,A
_U,2019,WH,"2,129,196",2013,A
_U,2020,AM,"37,441",2014,A
_U,2020,AS,"267,854",2014,A
_U,2020,BL,"588,891",2014,A
_U,2020,G,"3,987,730",2014,A
_U,2020,HI,"914,065",2014,A
_U,2020,NP,"3,987,730",2014,A
_U,2020,WH,"2,149,302",2014,A
_W,2000,AM,"22,466",1994,A
_W,2000,AS,"81,085",1994,A
_W,2000,BL,"55,110",1994,A
_W,2000,G,"986,133",1994,A
_W,2000,HI,"335,321",1994,A
_W,2000,NP,"986,133",1994,A
_W,2000,WH,"492,151",1994,A
_W,2001,AM,"20,685",1995,A
_W,2001,AS,"82,183",1995,A
_W,2001,BL,"51,742",1995,A
_W,2001,G,"973,660",1995,A
_W,2001,HI,"332,402",1995,A
_W,2001,NP,"973,660",1995,A
_W,2001,WH,"486,648",1995,A
_W,2002,AM,"21,195",1996,A
_W,2002,AS,"82,446",1996,A
_W,2002,BL,"49,866",1996,A
_W,2002,G,"970,630",1996,A
_W,2002,HI,"339,823",1996,A
_W,2002,NP,"970,630",1996,A
_W,2002,WH,"477,300",1996,A
_W,2003,AM,"21,306",1997,A
_W,2003,AS,"82,321",1997,A
_W,2003,BL,"49,440",1997,A
_W,2003,G,"957,596",1997,A
_W,2003,HI,"337,432",1997,A
_W,2003,NP,"957,596",1997,A
_W,2003,WH,"467,097",1997,A
_W,2004,AM,"21,933",1998,A
_W,2004,AS,"82,064",1998,A
_W,2004,BL,"49,234",1998,A
_W,2004,G,"967,766",1998,A
_W,2004,HI,"342,571",1998,A
_W,2004,NP,"967,766",1998,A
_W,2004,WH,"471,964",1998,A
_W,2005,AM,"21,982",1999,A
_W,2005,AS,"84,475",1999,A
_W,2005,BL,"48,048",1999,A
_W,2005,G,"971,390",1999,A
_W,2005,HI,"349,748",1999,A
_W,2005,NP,"971,390",1999,A
_W,2005,WH,"467,137",1999,A
_W,2006,AM,"22,089",2000,A
_W,2006,AS,"92,754",2000,A
_W,2006,BL,"48,318",2000,A
_W,2006,G,"998,037",2000,A
_W,2006,HI,"366,630",2000,A
_W,2006,NP,"998,037",2000,A
_W,2006,WH,"468,246",2000,A
_W,2007,AM,"22,057",2001,A
_W,2007,AS,"91,420",2001,A
_W,2007,BL,"46,927",2001,A
_W,2007,G,"994,684",2001,A
_W,2007,HI,"375,535",2001,A
_W,2007,NP,"994,684",2001,A
_W,2007,WH,"458,745",2001,A
_W,2008,AM,"22,291",2002,A
_W,2008,AS,"95,101",2002,A
_W,2008,BL,"45,850",2002,A
_W,2008,G,"1,003,777",2002,A
_W,2008,HI,"382,858",2002,A
_W,2008,NP,"1,003,777",2002,A
_W,2008,WH,"457,677",2002,A
_W,2009,AM,"22,254",2003,A
_W,2009,AS,"96,958",2003,A
_W,2009,BL,"46,078",2003,A
_W,2009,G,"1,026,180",2003,A
_W,2009,HI,"394,621",2003,A
_W,2009,NP,"1,026,180",2003,A
_W,2009,WH,"466,269",2003,A
_W,2010,AM,"23,232",2004,A
_W,2010,AS,"98,750",2004,A
_W,2010,BL,"46,120",2004,A
_W,2010,G,"1,037,692",2004,A
_W,2010,HI,"405,292",2004,A
_W,2010,NP,"1,037,692",2004,A
_W,2010,WH,"464,298",2004,A
_W,2011,AM,"23,646",2005,A
_W,2011,AS,"98,631",2005,A
_W,2011,BL,"46,926",2005,A
_W,2011,G,"1,050,428",2005,A
_W,2011,HI,"417,987",2005,A
_W,2011,NP,"1,050,428",2005,A
_W,2011,WH,"463,238",2005,A
_W,2012,AM,"24,764",2006,A
_W,2012,AS,"103,663",2006,A
_W,2012,BL,"50,552",2006,A
_W,2012,G,"1,089,534",2006,A
_W,2012,HI,"437,259",2006,A
_W,2012,NP,"1,089,534",2006,A
_W,2012,WH,"473,296",2006,A
_W,2013,AM,"24,997",2007,A
_W,2013,AS,"108,582",2007,A
_W,2013,BL,"51,129",2007,A
_W,2013,G,"1,102,125",2007,A
_W,2013,HI,"444,558",2007,A
_W,2013,NP,"1,102,125",2007,A
_W,2013,WH,"472,859",2007,A
_W,2014,AM,"24,948",2008,A
_W,2014,AS,"107,413",2008,A
_W,2014,BL,"51,699",2008,A
_W,2014,G,"1,083,698",2008,A
_W,2014,HI,"432,202",2008,A
_W,2014,NP,"1,083,698",2008,A
_W,2014,WH,"467,436",2008,A
_W,2015,AM,"24,263",2009,A
_W,2015,AS,"104,739",2009,A
_W,2015,BL,"50,775",2009,A
_W,2015,G,"1,040,411",2009,A
_W,2015,HI,"405,956",2009,A
_W,2015,NP,"1,040,411",2009,A
_W,2015,WH,"454,678",2009,A
_W,2016,AM,"22,991",2010,A
_W,2016,AS,"102,065",2010,A
_W,2016,BL,"50,076",2010,A
_W,2016,G,"1,006,339",2010,A
_W,2016,HI,"383,998",2010,A
_W,2016,NP,"1,006,339",2010,A
_W,2016,WH,"447,209",2010,A
_W,2017,AM,"22,557",2011,A
_W,2017,AS,"100,818",2011,A
_W,2017,BL,"49,007",2011,A
_W,2017,G,"992,215",2011,A
_W,2017,HI,"371,270",2011,A
_W,2017,NP,"992,215",2011,A
_W,2017,WH,"436,136",2011,A
_W,2018,AM,"22,443",2012,A
_W,2018,AS,"109,360",2012,A
_W,2018,BL,"48,933",2012,A
_W,2018,G,"996,211",2012,A
_W,2018,HI,"365,663",2012,A
_W,2018,NP,"996,211",2012,A
